,Link,Title,Loc,Map,Date,Time
0,http://seattle.craigslist.org/est/zip/5760200747.html,Free safe! On curb! We have the code!, (98008),"https://maps.google.com/maps/preview/@47.592620,-122.133293,16z",2016-08-31,  3:56pm
1,http://seattle.craigslist.org/tac/zip/5760211381.html,Free chair/bookcase or firewood,NULL,NULL,2016-08-31,  4:03pm
2,http://seattle.craigslist.org/see/zip/5760210832.html,CABINET SHELF SLIDING DRAWERS  price reduced,"
        (google map)
        ","https://maps.google.com/maps/preview/@47.448300,-122.273100,16z",2016-08-31,  4:03pm
3,http://seattle.craigslist.org/tac/zip/5760210624.html,"Free full size mattress good condition, broken box spring",NULL,NULL,2016-08-31,  4:03pm
4,http://seattle.craigslist.org/see/zip/5760208030.html,Metal, (Tukwila),NULL,2016-08-31,  4:01pm
5,http://seattle.craigslist.org/sno/zip/5760206846.html,"Viewsonic 19"" CRT Monitor", (South Everett),NULL,2016-08-31,  4:00pm
6,http://seattle.craigslist.org/see/zip/5740026143.html,Free Garden Soil or Fill Dirt, (Bryant (NE Seattle)),NULL,2016-08-19,  7:24am
7,http://seattle.craigslist.org/tac/zip/5760205763.html,PAINT TILE & TETHERBALL, (Lake tapps),NULL,2016-08-31,  3:59pm
8,http://seattle.craigslist.org/oly/zip/5730764134.html,barn wood scraps, (Chehalis),https://maps.google.com/?q=loc%3A+%34%32%32+brown+rd+e+Chehalis+WA+US,2016-08-13, 10:54am
9,http://seattle.craigslist.org/see/zip/5760201907.html,free 2 plastic 2.5 gallon gas cans with noozles, (Ballard),"https://maps.google.com/maps/preview/@47.691508,-122.413788,16z",2016-08-31,  3:57pm
10,http://seattle.craigslist.org/sno/zip/5760199754.html,Three piece couch table golf clubs, (Lynnwood),"https://maps.google.com/maps/preview/@47.839200,-122.285500,16z",2016-08-31,  3:55pm
11,http://seattle.craigslist.org/see/zip/5760182912.html,Dickie's Socks, (nw seattle),https://maps.google.com/?q=loc%3A+%39%30%30%39+Greenwood+Ave+N+Seattle+WA+US,2016-08-31,  3:43pm
12,http://seattle.craigslist.org/sno/zip/5745787193.html,Free large comfy chair, (Edmonds),"https://maps.google.com/maps/preview/@47.835300,-122.327000,16z",2016-08-22,  6:26pm
13,http://seattle.craigslist.org/see/zip/5742701577.html,Propane BBQ Grill - Brinkman (Propane not included), (Capitol Hill),"https://maps.google.com/maps/preview/@47.626720,-122.302336,16z",2016-08-20,  6:28pm
14,http://seattle.craigslist.org/see/zip/5756131588.html,Coffee table,NULL,NULL,2016-08-29,  9:20am
15,http://seattle.craigslist.org/skc/zip/5760190347.html,Free chair,"
        (google map)
        ","https://maps.google.com/maps/preview/@47.305000,-122.206700,16z",2016-08-31,  3:48pm
16,http://seattle.craigslist.org/see/zip/5760189889.html,4 chrysler 3 speed transmission cores, (Northgate),"https://maps.google.com/maps/preview/@47.717000,-122.301500,16z",2016-08-31,  3:48pm
17,http://seattle.craigslist.org/see/zip/5760189644.html,Free Moving Boxes!!, (Edmonds),"https://maps.google.com/maps/preview/@47.803182,-122.328901,16z",2016-08-31,  3:48pm
18,http://seattle.craigslist.org/see/zip/5760188396.html,Free Firewood (NOW - WEDNESDAY) 1 cord Cedar, (Maple Leaf / N. Seattle),"https://maps.google.com/maps/preview/@47.677525,-122.304268,16z",2016-08-31,  3:47pm
19,http://seattle.craigslist.org/tac/zip/5760187520.html,Free things on curb,"
        (google map)
        ","https://maps.google.com/maps/preview/@47.211300,-122.412600,16z",2016-08-31,  3:46pm
20,http://seattle.craigslist.org/see/zip/5760187319.html,Free Pool Table, (Bitter Lake/Greenwood),"https://maps.google.com/maps/preview/@47.715089,-122.351582,16z",2016-08-31,  3:46pm
21,http://seattle.craigslist.org/see/zip/5760183453.html,Planter box, (Phinney ridge),"https://maps.google.com/maps/preview/@47.670100,-122.376300,16z",2016-08-31,  3:43pm
22,http://seattle.craigslist.org/skc/zip/5759333836.html,Metal front door,"
        (google map)
        ","https://maps.google.com/maps/preview/@47.412175,-122.147541,16z",2016-08-31,  7:56am
23,http://seattle.craigslist.org/est/zip/5760180693.html,Desk Chairs, (Woodinville),https://maps.google.com/?q=loc%3A+Woodinville%2DSnohomish+Rd%2E+Woodinville+WA+US,2016-08-31,  3:41pm
24,http://seattle.craigslist.org/see/zip/5752349452.html,Bricks...., (Seattle),"https://maps.google.com/maps/preview/@47.673300,-122.342600,16z",2016-08-26,  5:07pm
25,http://seattle.craigslist.org/see/zip/5760178569.html,Fountain - heavy, (Shoreline / Richmond Beach),"https://maps.google.com/maps/preview/@47.746700,-122.368600,16z",2016-08-31,  3:40pm
